Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax,FlipWindow,FlipThreshold,ReducedWeight,Config
122.94986533104608,0.3545175994763825,-0.4933256945721063,0.9029550770465321,0.948298136113045,0.718627882911874,74,7.380522698304556,20,3,0.3,FW20_FT3_RW30
135.05204568384943,0.36256092248641836,-0.4933256945721066,0.9162166927430994,0.9715364144214896,0.7349321684954824,74,3.9590588267060145,20,3,0.5,FW20_FT3_RW50
136.00832043158724,0.3631673460679965,-0.4933256945721066,0.916668303597956,0.973044362892948,0.736161424518938,74,3.8286994985686675,20,3,0.7,FW20_FT3_RW70
141.28448839559863,0.36644307491494943,-0.4945391563026894,0.9209090747511522,0.9795128827779099,0.7409788896284342,68,4.687185209127399,20,5,0.3,FW20_FT5_RW30
140.19320366123367,0.36577505917331665,-0.49453915630268874,0.9198196932492505,0.9779732232206116,0.7396281053010079,68,4.354635920316894,20,5,0.5,FW20_FT5_RW50
138.82470459296593,0.36493043049981266,-0.4945391563026885,0.9184291531121501,0.9759343146136384,0.737920194688189,68,4.068288707405526,20,5,0.7,FW20_FT5_RW70
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,7,0.3,FW20_FT7_RW30
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,7,0.5,FW20_FT7_RW50
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,7,0.7,FW20_FT7_RW70
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,10,0.3,FW20_FT10_RW30
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,10,0.5,FW20_FT10_RW50
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,20,10,0.7,FW20_FT10_RW70
130.71332343443885,0.3597579686091734,-0.4933256945721056,0.9147848431128701,0.9679666300552187,0.7292504172547014,74,3.418787098038493,30,3,0.3,FW30_FT3_RW30
125.20975738690706,0.3560743095372696,-0.49332569457210673,0.9076186728443061,0.9581859442462703,0.7217834251388747,74,6.2526994352057965,30,3,0.5,FW30_FT3_RW50
137.39430469145972,0.3640392174407092,-0.49332569457210695,0.9197402259763678,0.9789437610706176,0.7379287587208767,74,2.1219771058942696,30,3,0.7,FW30_FT3_RW70
133.68777498205216,0.36168876639824843,-0.4945391563026894,0.9135838370821268,0.9668114671755301,0.7313652757090723,70,3.9548103941747197,30,5,0.3,FW30_FT5_RW30
134.64306509025988,0.3623003374852196,-0.49453915630268963,0.9145022259447587,0.968894021053038,0.7326019241709318,70,3.8713429587666504,30,5,0.5,FW30_FT5_RW50
135.54442434949124,0.3628736660655616,-0.49453915630268963,0.9153098967365935,0.9706496027141499,0.7337612430500037,70,3.7795609782931407,30,5,0.7,FW30_FT5_RW70
135.54644336669273,0.36287494628964345,-0.4945391563026895,0.9148924054781841,0.9690621983944023,0.733763831771373,68,3.6063478897205723,30,7,0.3,FW30_FT7_RW30
135.90905638625281,0.36310458370871923,-0.4945391563026895,0.9153157667595327,0.9702037501036386,0.7342281780544715,68,3.6133810500998234,30,7,0.5,FW30_FT7_RW50
136.26736271132054,0.36333093059265975,-0.49453915630268885,0.9157264384603611,0.9712989272447816,0.7346858705972283,68,3.619263379868541,30,7,0.7,FW30_FT7_RW70
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,30,10,0.3,FW30_FT10_RW30
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,30,10,0.5,FW30_FT10_RW50
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,30,10,0.7,FW30_FT10_RW70
105.81801428268619,0.34176027645987106,-0.48136539649201326,0.8871323012504426,0.9253633748325149,0.7099809810810559,75,7.491231492778111,40,3,0.3,FW40_FT3_RW30
114.58325675921408,0.3485109822392367,-0.4813653964920134,0.8971422992321396,0.9429100334701727,0.7240050588991996,75,7.54512121703786,40,3,0.5,FW40_FT3_RW50
132.3989842142845,0.36085716959294767,-0.4813653964920134,0.9161380280600826,0.975198992682353,0.7496533241124549,75,3.023276335201951,40,3,0.7,FW40_FT3_RW70
126.06080189404226,0.35665372974602927,-0.49453915630268874,0.9059725001123654,0.9532148939441822,0.7211840057569374,70,3.7800181604142566,40,5,0.3,FW40_FT5_RW30
129.58518294090666,0.3590148772600845,-0.4945391563026901,0.9096746000847644,0.9601959000295119,0.7259584457258711,70,3.4431495469082494,40,5,0.5,FW40_FT5_RW50
132.62907574367924,0.3610061915501128,-0.49453915630268974,0.912625547560374,0.9658256659950638,0.7299850516369504,70,3.523599031437425,40,5,0.7,FW40_FT5_RW70
133.65013568195945,0.3616645861893846,-0.4945391563026893,0.9130659967893707,0.9658308076920987,0.7313163812816935,68,3.759546770630039,40,7,0.3,FW40_FT7_RW30
134.54740486748165,0.36223927985926396,-0.4945391563026891,0.9140277950631805,0.9679731090466189,0.7324784604872637,68,3.7235994676296924,40,7,0.5,FW40_FT7_RW50
135.44608725653237,0.362811290568692,-0.49453915630268974,0.9149634588561999,0.9700062829224744,0.7336351145198868,68,3.685879001820691,40,7,0.7,FW40_FT7_RW70
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,40,10,0.3,FW40_FT10_RW30
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,40,10,0.5,FW40_FT10_RW50
136.79743742871534,0.3636647652545051,-0.4945391563026894,0.9163194467424228,0.9728568033011455,0.7353609125177525,66,3.625858433591061,40,10,0.7,FW40_FT10_RW70
